field,signal,value,delay,datatype
current,Vehicle.Cabin.Infotainment.Media.Volume,1,0.00044226646423339844,UINT8
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.038465023040771484,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0006799697875976562,BOOLEAN
current,Vehicle.Powertrain.ElectricMotor.Power,20,0.05823993682861328,INT16
current,Vehicle.Speed,60.0,0.020987987518310547,FLOAT
current,Vehicle.Cabin.Infotainment.HMI.SpeedUnit,KILOMETERS_PER_HOUR,0.00044798851013183594,STRING
current,Vehicle.Cabin.Infotainment.Media.Played.Album,DI_SPEED_KPH,0.0005648136138916016,STRING
current,Vehicle.Cabin.Infotainment.Media.Volume,1,0.0005424022674560547,UINT8
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.02655792236328125,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.0004258155822753906,BOOLEAN
current,Vehicle.Powertrain.ElectricMotor.Power,19,0.050457000732421875,INT16
current,Vehicle.Speed,61.0,0.041059017181396484,FLOAT
current,Vehicle.Cabin.Infotainment.HMI.SpeedUnit,KILOMETERS_PER_HOUR,0.0004069805145263672,STRING
current,Vehicle.Cabin.Infotainment.Media.Played.Album,DI_SPEED_KPH,0.0005199909210205078,STRING
current,Vehicle.Cabin.Infotainment.Media.Volume,1,0.0007359981536865234,UINT8
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.006680011749267578,INT8
current,Vehicle.Powertrain.Transmission.IsParkLockEngaged,False,0.000782012939453125,BOOLEAN
current,Vehicle.Powertrain.ElectricMotor.Power,16,0.05055999755859375,INT16
current,Vehicle.Powertrain.Transmission.CurrentGear,1,0.050324201583862305,INT8
